 
     -0.200000000000000004E-01     -0.126970952916027244E+03      0.318967797487796783-312      0.572562423685515423E-01      0.000000000000000000E+00      0.000000000000000000E+00      0.667868673039923380E+02      0.118806158360993118E+04     -0.200000000000000004E-01     -0.136548763432726539E+00     -0.136548763432726233E+00      0.000000000000000000E+00      0.000000000000000000E+00
     -0.199600000000000020E-01     -0.126828262273419938E+03      0.318967797487796783-312      0.574276817035362167E-01      0.000000000000000000E+00      0.000000000000000000E+00      0.667807388632683399E+02      0.118807349225805024E+04     -0.199600000000000020E-01     -0.136834682599579427E+00     -0.136834682599579122E+00      0.000000000000000000E+00      0.000000000000000000E+00
     -0.199200000000000037E-01     -0.126685264973600482E+03      0.318967797487796783-312      0.575991352375967575E-01      0.000000000000000000E+00      0.000000000000000000E+00      0.667745978587745697E+02      0.118808539656816151E+04     -0.199200000000000037E-01     -0.137120625447041761E+00     -0.137120625447041455E+00      0.000000000000000000E+00      0.000000000000000000E+00
     -0.198800000000000053E-01     -0.126541960606016417E+03      0.318967797487796783-312      0.577706030263467826E-01      0.000000000000000000E+00      0.000000000000000000E+00      0.667684442741992257E+02      0.118809729639496300E+04     -0.198800000000000053E-01     -0.137406592067863598E+00     -0.137406592067863348E+00      0.000000000000000000E+00      0.000000000000000000E+00
     -0.198400000000000069E-01     -0.126398348758328325E+03      0.318967797487796783-312      0.579420851259496786E-01      0.000000000000000000E+00      0.000000000000000000E+00      0.667622780931449284E+02      0.118810919159241666E+04     -0.198400000000000069E-01     -0.137692582555711873E+00     -0.137692582555711568E+00      0.000000000000000000E+00      0.000000000000000000E+00
     -0.198000000000000086E-01     -0.126254429016460989E+03      0.318967797487796783-312      0.581135815930482816E-01      0.000000000000000000E+00      0.000000000000000000E+00      0.667560992991456459E+02      0.118812108201399155E+04     -0.198000000000000086E-01     -0.137978597005052966E+00     -0.137978597005052661E+00      0.000000000000000000E+00      0.000000000000000000E+00
     -0.197600000000000102E-01     -0.126110200964593361E+03      0.318967797487796783-312      0.582850924847673826E-01      0.000000000000000000E+00      0.000000000000000000E+00      0.667499078756662669E+02      0.118813296751266353E+04     -0.197600000000000102E-01     -0.138264635511157197E+00     -0.138264635511156891E+00      0.000000000000000000E+00      0.000000000000000000E+00
     -0.197200000000000118E-01     -0.125965664185140611E+03      0.318967797487796783-312      0.584566178587265645E-01      0.000000000000000000E+00      0.000000000000000000E+00      0.667437038060997025E+02      0.118814484794087457E+04     -0.197200000000000118E-01     -0.138550698170120029E+00     -0.138550698170119724E+00      0.000000000000000000E+00      0.000000000000000000E+00
     -0.196800000000000135E-01     -0.125820818258380086E+03      0.318967797487796783-312      0.586281577734733411E-01      0.000000000000000000E+00      0.000000000000000000E+00      0.667374870736651360E+02      0.118815672314908625E+04     -0.196800000000000135E-01     -0.138836785079584524E+00     -0.138836785079584218E+00      0.000000000000000000E+00      0.000000000000000000E+00
     -0.196400000000000151E-01     -0.125675662766547049E+03      0.318967797487796783-312      0.587997122836314487E-01      0.000000000000000000E+00      0.000000000000000000E+00      0.667312576625491261E+02      0.118816859300204260E+04     -0.196400000000000151E-01     -0.139122896330649781E+00     -0.139122896330649476E+00      0.000000000000000000E+00      0.000000000000000000E+00
